Comment,Designator,Footprint, LCSC
2.2u,"C1,C6",Capacitors_SMD:C_0603,C23630
10u,C14,Capacitors_SMD:C_0805,C15850
100n,"C25,C4,C28,C15,C22,C26,C23,C27,C19,C12,C10,C20",Capacitors_SMD:C_0603,C14663
680p,"C3,C7",Capacitors_SMD:C_0603,C1630
68n,"C31,C30,C24,C21,C18,C17,C16,C13",Capacitors_SMD:C_0603,C31658
470n,"C33,C32",Capacitors_SMD:C_0603,C1623
150p,"C5,C8",Capacitors_SMD:C_0603,C1594
IRF7316,"Q1,Q2,Q3,Q4",MeineLibs:SO8E,C55887
MMBT3904,"Q5,Q7",TO_SOT_Packages_SMD:SOT-23,C20526
S9015,Q8,TO_SOT_Packages_SMD:SOT-23,C2149
IRF7341,"Q9,Q10,Q11,Q12",MeineLibs:SO8E,C21791
220,"R17,R19,R18",Resistors_SMD:R_1206,C17958
10K,"R21,R20,R22",Resistors_SMD:R_1206,C17902
10K,R68,Resistors_SMD:R_0603,C25804
27K,"R69,R67,R65,R90,R87,R74",Resistors_SMD:R_0603,C22967
300K,"R70,R76",Resistors_SMD:R_0603,C23024
15K,"R71,R66",Resistors_SMD:R_0603,C22809
1K,"R73,R2,R6,R10,R14,R4,R8,R12,R16",Resistors_SMD:R_1206,C4410
4.7K,"R86,R72,R1,R5,R9,R13,R3,R7,R11,R15,R77,R82,R78,R83,R79,R84,R81,R85",Resistors_SMD:R_1206,C17936
47K,R88,Resistors_SMD:R_0603,C25819
4.7K,R89,Resistors_SMD:R_0603,C23162
74HCT573,"U1,U2,U4",Housings_SOIC:SOIC-20_7.5x12.8mm_Pitch1.27mm,C6000
74HC154,U14,MeineLibs:SOIC-24_7.5x15.4mm_Pitch1.27mm,C13758
LM358,U20,MeineLibs:SO8E,C7950
ULN2803A,U3,Housings_SOIC:SOIC-18_7.5x11.6mm_Pitch1.27mm,C9683
74HCT273,"U5,U6,U8,U11,U12,U15,U16,U17,U18,U23",Housings_SSOP:SSOP-20_4.4x6.5mm_Pitch0.65mm,C5983
