"Reference","Qty","Value","Footprint"
"C1","1","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C2","1","150p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"J1","1","APC_HW_ext","MeineLibs:pin_array_8x2_big_pads"
"J2","1","Sol_GND","MeineLibs:Molex3"
"J3","1","Solenoids","MeineLibs:Molex8"
"Q1,Q3,Q5,Q7,Q9,Q10,Q11,Q14,Q15","9","BC856","Package_TO_SOT_SMD:SOT-23"
"Q2,Q4,Q6,Q8,Q12,Q13,Q16,Q17","8","IRL540","MeineLibs:TO220_GDS_BP"
"R1","1","47K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R2,R3,R5,R7,R9,R11,R12,R15,R16","9","10K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R4,R6,R8,R10,R13,R14,R17,R18","8","4.7K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"RN1","1","4.7K","MeineLibs:SIP10_BigPads"
"U1","1","74HCT273","Package_DIP:CERDIP-20_W7.62mm_SideBrazed_LongPads"
"U2","1","ULN2803A","Package_DIP:CERDIP-18_W7.62mm_SideBrazed_LongPads"
