"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+5V?,+5V?,+5V?,GND?,GND?,GND?,GND?,GND?,GND?,U?,U?,U?,U?,U?,U?,U?,U?,U?,U?,U?,U?,U?","22","~","","","","",""
"AN1,AN2,AN3,AN4,AN5,AN6,AN7,AN8,AN9,AN10,AN11,AN12,AN13,AN14","14","PSA08-11","","","","",""
"C1,C2","2","ELC-45","","","","",""
"IC1A?,IC1C?,IC1D?,IC2A?,IC2B?,IC2C?,IC2D?,IC3A?,IC3C?,IC3D?,IC6A?,IC6B?,IC6C?,IC6D?","14","4071","","","","",""
"IC1P?,IC2P?,IC3P?,IC6P?","4","VSS","","","","VDD",""
"IC4A?,IC4B?,IC4C?,IC4D?,IC4E?,IC4F?,IC4G?,IC4H?,IC5C?,IC5D?,IC5E?,IC5F?,IC5G?,IC8A?,IC8B?,IC8C?,IC8D?","17","ULN2803","","","","",""
"IC7","1","ULN2803A","","","","",""
"IRF7316","1","U$1G$1,U$1G$2,U$2G$1,U$2G$2,U$3G$1,U$3G$2,U$4G$1,U$4G$2,U$5G$1,U$5G$2,U$6G$1,U$6G$2,U$7G$1","","","","",""
"J1","1","Segments2","","","","",""
"J2","1","D156C6","","","","",""
"J3","1","Strobes1","","","","",""
"J4","1","Strobes2","","","","",""
"J5","1","Segments1","","","","",""
"N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14","14","SA08-11","","","","",""
"Q7","1","IRF7316","","","","SO8",""
"RN1,RN2,RN3,U$34,U$36,U$37,U$38,U$39,U$40,U$41,U$87,U$88,U$89,U$90,U$91,U$92,U$93,U$94","18","4k7","","","","",""
"U$8,U$17,U$26,U$27,U$28,U$29,U$30,U$31,U$32,U$33,U$51,U$52,U$53,U$54,U$55,U$56,U$57,U$58,U$66,U$67,U$68,U$69,U$70,U$71,U$72","25","20R","","","","",""
