Reference, Value, Footprint, Datasheet
"C5","100n","1","2"
"C6","100n","1","2"
"C7","100n","1","2"
"CREDIT1","PINHD-2X10","",""
"IC5","4050","",""
"IC8","4081","",""
"PLAYER1","PINHD-2X10","",""
"PLAYER2","PINHD-2X10","",""
"PLAYER3","PINHD-2X10","",""
"PLAYER4","PINHD-2X10","",""
"POWER1","PADROW6","",""
"Q5","IRF7316","",""
"U$2","20","",""
"U$24","6.8K","",""
"IC3","4511","",""
"IC4","4511","",""
"STROBE1","PADROW18","",""
"BCD-IN1","PADROW9","",""
"Q1","IRF7316","",""
"IC7","4050","",""
"Q8","IRF7316","",""
"Q6","IRF7316","",""
"Q7","IRF7316","",""
"IC6","4050","",""
"Q2","IRF7316","",""
"Q3","IRF7316","",""
"Q4","IRF7316","",""
"U$3","20","",""
"U$4","20","",""
"U$5","20","",""
"U$6","20","",""
"U$7","20","",""
"U$8","20","",""
"U$27","20","",""
"U$28","20","",""
"U$29","20","",""
"U$30","20","",""
"U$31","20","",""
"U$32","20","",""
"U$33","20","",""
"U$26","20","",""
"U$34","20","",""
"U$25","20","",""
"U$1","20","",""
"IC1","ULN2803A","",""
"IC2","ULN2803A","",""
"C3","100n","1","2"
"C2","100n","1","2"
"C4","100n","1","2"
"C1","4700u","","~"
